Location;GDP growth (annual %) in 2012;GDP (current US$)in 2012;GDP per capita (current US$) in 2012;Internet users (per 100 people) in 2012;Life expectancy at birth, total (years) in 2012;Agriculture, value added (% of GDP) in 2012;Population (Total) in 2012;Imports of goods and services (% of GDP) in 2012
Bolivia;5.176430946;27035110130.246;2575.6836947783;35.5;66.9266341463;12.9521990566;10496285;37.851585405
Bosnia and Herzegovina;-0.7000000372;16853238733.4122;4395.8288948981;65.3560944773;76.1211463415;8.4467740242;3833916;55.1453964294
Botswana;4.2568065743;14537490552.851;7254.5626065297;11.5;46.9907073171;2.9300697019;2003910;59.4258742976
Brazil;1.0318036484;2248780912395.68;11319.9737099115;48.56;73.6178780488;5.3190424124;198656019;14.0337160361
Brunei Darussalam;0.9483546618;16953952625.403;41126.6128435587;60.2730650423;78.3734634146;0.7151252531;412238;31.1794610363
Bulgaria;0.601010623;51303659417.9095;7022.23458913;51.8999876659;74.3146341463;6.3981285659;7305888;69.7171059287
Burkina Faso;9.5374201145;10726305449.6118;651.6533150969;3.725034916;55.8620243902;35.3353405345;16460141;34.2599711107
Burundi;4.0193655324;2472384813.05749;251.0145177984;1.2199999448;53.6287560976;40.5824006239;9849569;37.4688518964
Cambodia;7.3133455051;14054443213.4731;945.4946463894;4.94;71.4088292683;35.5585055844;14864646;
Cameroon;4.6;26472637886.5689;1219.9579747033;5.6989872404;54.5875121951;;21699631;30.541242431
Canada;1.7090056561;1821445449562.2;52409.1931257969;83;81.2380487805;;34754312;32.0241520863
Cabo Verde;1.2362627224;1757304418.79445;3554.4111334614;34.74;74.5437317073;8.103553515;494401;52.3174809586
Cayman Islands;;;;74.1265306873;;;57570;
Central African Republic;4.0999737919;2169706411.47799;479.4709838768;3;49.4753902439;54.3174980039;4525209;21.7818278333
Chad;8.8825760705;12887072081.6363;1035.2579459749;2.1000000001;50.7005853659;55.8405050569;12448175;39.0716196498
Channel Islands;;;;;80.1198292683;;161235;
Chile;5.3817563669;266259263033.373;15245.4680040322;61.4181545578;79.5726585366;3.3847389625;17464814;34.1845776738
China;7.652553;8229490030098.38;6092.781886435;42.3001174856;75.1995121951;10.0821251114;1350695000;24.5037783153
Colombia;4.0490258033;370328075210.144;7762.9708288949;48.98;73.7770731707;6.3089387046;47704427;19.9192715808
Comoros;2.961140068;595898770.332299;830.5174617142;5.9752963084;60.644;;717503;
Congo, Dem. Rep.;7.1578643992;27452795397.9825;417.8183782189;1.6799610146;49.6232682927;;65705093;
Congo, Rep.;3.7999958518;13677929161.7142;3153.7395252475;6.1066950244;58.2965609756;;4337051;
Costa Rica;5.1338507112;45374788701.1671;9442.664540089;47.5;79.7050243902;6.0650376469;4805295;41.5472646356
Cote d'Ivoire;9.496;24680372724.4372;1243.986074645;2.3789580299;50.4017317073;26.8920591398;19839750;50.1270359607
Croatia;-1.8697164344;56155732956.8311;13158.7509664382;61.9399731528;76.9243902439;4.8299120328;4267558;43.0365366096
Cuba;;;;25.6417038675;79.0670243902;;11270957;
Curacao;;;;;;;152056;
Cyprus;-2.4;22766912960;26352.2712209689;60.6898684002;79.6371219512;;1128994;
Czech Republic;-1.0211192554;196446226535.564;18689.967165684;73.4300078241;78.0756097561;2.3588413602;10510785;72.4297347375
Denmark;-0.3587282621;315164386681.752;56364.1828598026;92.2600117153;80.0512195122;1.4432022098;5591572;49.7205822582
Djibouti;3.0034964367;1353632941.5207;1574.6289679088;8.267232892;61.3039756098;;859652;
Dominica;-1.1844331641;495555555.555556;6913.0566870648;55.1770141639;;14.8614654511;71684;49.7683109118
Dominican Republic;3.8876826006;58920504571.4068;5733.4511578667;41.2;73.2329756098;6.0509892546;10276621;33.9247164075
Ecuador;5.1232676756;84039856000;5424.6336106847;35.1351464546;76.1925609756;9.7829606103;15492264;33.1066262179
Egypt, Arab Rep.;2.2130289069;262831912586.538;3256.0184688792;44;70.9072439024;14.4655140766;80721874;25.8450102914
El Salvador;1.8809554607;23813600000;3781.5007287141;20.3213877242;72.1045365854;11.9240321537;6297394;44.1457822421
Equatorial Guinea;3.2171816794;16486743747.3457;22391.4617862187;13.9431821913;52.612902439;;736296;65.255301619
Eritrea;7.017108852;3091967479.6748;504.3234084;0.8;62.2347804878;;6130922;
Estonia;3.9389071376;22376042497.826;16887.3753206195;78.3899259259;76.4268292683;4.138689717;1325016;90.3349990368
Ethiopia;8.7253129078;42805215879.4552;466.649438493;1.4828101386;62.9659512195;48.5970647859;91728849;32.0041591976
Faeroe Islands;;;;85.3351892392;82.0390243902;;49506;
Fiji;2.2021280237;4035420973.23873;4613.2699392949;33.7423567521;69.7447317073;12.7398124445;874742;62.8367991139
Finland;-1.0080670145;247143237013.414;45649.1615883081;89.8799979742;80.6268292683;2.7163002201;5413971;41.6043670393
France;0.0138792984;2611221313281.69;39758.6816523691;81.44;82.5658536585;1.9687738109;65676758;29.6522136008
French Polynesia;;;;52.8766305868;76.1290243902;;273814;
Gabon;5.6;17843815459.3005;10929.8796373456;8.6167144892;63.0739268293;4.0188088994;1632572;32.3307084677
Gambia, The;6.0548303269;914109100.327103;510.3262294391;12.4492287209;58.6070731707;20.254545294;1791225;50.3652821374
Georgia;6.1800100102;15846484587.9004;3528.733735921;36.94;73.9448780488;8.6138978821;4490700;57.7980915112
Germany;0.6886553099;3425956470873.76;42597.7172888085;82.3499984738;80.8926829268;0.8371075796;80425823;45.8715871587
Ghana;8.7898061768;41740897827.3579;1645.5151620024;12.3;60.9471219512;22.9630333765;25366462;53.0599394336
Greece;-6.9726500516;248424267493.672;22395.1497325305;55.0699934418;80.6341463415;3.3802251368;11092771;32.0922626305
Greenland;;;;64.8960100996;;;56810;
Grenada;-1.7970401691;801481467.326808;7598.2050882778;32;72.6103414634;5.4147218773;105483;49.1654343808
Guam;;;;61.5341593079;78.6185609756;;162810;
Guatemala;2.969832897;50388454861.1111;3340.7823014865;16;71.6638536585;11.2409067568;15082831;36.1137810566
Guinea;3.9441119886;5651088170.28606;493.4899526268;1.4901443657;55.8446585366;20.5446814563;11451273;61.9713874897
Guinea-Bissau;-1.45;822320637.782146;494.3143778468;2.8939906209;54.0336341463;;1663558;31.601864622
Guyana;4.8164589171;2851154075.95385;3584.693489379;33;66.0462682927;21.4556711999;795369;
Haiti;2.8850960508;7890216507.68913;775.5446240642;9.8;62.7026585366;;10173775;48.1462289026
Honduras;3.8631391139;18564264544.5129;2339.2924389552;18.12;73.4934390244;14.7704893198;7935846;70.1912474727
